"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","0","1","","0"
"0","Credentials","1","Credentials","0","0","@smoke @regression C22181795: Verify Global Credential can be imported successfully from Super Admin to Agency Credentials","0"
"0","My Credentials","1","My Credentials","0","0","@regression C22670975: Verify saved views options are available on My Credentials page","0"
"0","My Credentials","1","My Credentials","0","0","@smoke @regression C22670971: Verify My Credentials grid displays all expected columns","0"
"0","Credentials","1","Credentials","0","0","@regression C5701947: Verify filters in Credentials - Personnel","0"
"0","My Credentials","1","My Credentials","0","0","@regression C22670972: Verify search filters My Credentials grid results","0"
"0","My Credentials","1","My Credentials","0","0","@regression C22682821: Verify My Credentials grid columns can be sorted","0"
"0","Credentials","1","Credentials","0","0","@regression C10485260: Verify autogenerate toggle for same credential type across different clients","0"
"0","Credentials","1","Credentials","0","0","@smoke @regression C52165: Verify duplicate credential name validation on create","0"
"0","Credentials","1","Credentials","0","0","@regression C54133: Verify mandatory field validations when saving a credential without required details","0"
"0","Credentials","1","Credentials","0","0","@smoke @regression C7135673: Verify clone action duplicates a credential successfully","0"
"0","My Credentials","1","My Credentials","0","0","@smoke @regression C22670969: Verify My Credentials page loads successfully","0"
"0","My Credentials","1","My Credentials","0","0","@regression C22670980: Verify pagination and page size controls display on My Credentials grid","0"
"0","Credentials","1","Credentials","0","0","@smoke @regression C54657: Verify bulk delete removes multiple unused credentials","0"
"0","Credentials","1","Credentials","0","0","@regression C22181796: Verify validation messages when saving a credential with empty mandatory fields","0"
"0","Credentials","1","Credentials","0","0","@regression C52162: Verify credential status in Personnel matches Training Credentials","0"
"0","My Credentials","1","My Credentials","0","0","@smoke @regression C22682824: Verify User can submit Upload External Credential with valid required fields","0"
"0","Training Setup","0","Categories","1","0","@smoke @regression C21852434: Verify deactivate, delete confirmation cancel, and bulk delete affordance on category rows","0"
"0","Credentials","0","Credentials","1","0","@regression C22181791: Verify State / Province is mandatory for Global Credentials when TRN-1853 is enabled","0"
"0","Auth","0","Auth","1","0","@smoke @regression super admin, admin, and user can act independently in the same test","0"
"0","My Credentials","1","My Credentials","0","0","@regression C22670970: Verify status tabs filter credentials on My Credentials page","0"
"0","My Credentials","1","My Credentials","0","0","@smoke @regression C22670977: Verify Upload External Credential modal opens with required fields","0"
