"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42901","@smoke @regression C15628545: Verify user can create a dispatch unit","chromium","2026-09-15","failed","2026-09-15","Dispatch unit","dispatch-unit/C15628545-verify-user-can-create-a-dispatch-unit.spec.ts","",""
"","63021","@smoke @regression C58114: Verify third edit of credential in Personnel updates correctly","chromium","2026-09-15","failed","2026-09-15","Credentials — Personnel","credentials/C58114-verify-third-edit-of-credential-in-personnel-updates-correctly.spec.ts","",""
"","69558","@regression C22670981: Verify empty state displays when no credentials match selected status tab","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670981-verify-empty-state-displays-when-no-credentials-match-selected-status-tab.spec.ts","",""
"","69811","@regression C22670980: Verify pagination and page size controls display on My Credentials grid","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670980-verify-pagination-and-page-size-controls-display-on-my-credentials-grid.spec.ts","",""
"","27136","C45556: Create Apparatus Groups","chromium","2026-09-15","failed","2026-09-15","Asset management setup apparatus groups","asset-management-setup/apparatus-groups/C45556-create-apparatus-groups.spec.ts","",""
"","43457","@smoke @regression C77675: Verify user can create a fire station with required fields","chromium","2026-09-15","passed","2026-09-15","Fire station","fire-station/C77675-verify-user-can-create-a-fire-station-with-required-fields.spec.ts","",""
"","19741","@smoke @regression C52160: Verify credential creation modal displays all configured fields, controls, and default values","chromium","2026-09-15","passed","2026-09-15","Credentials","credentials/C52160-verify-credential-creation-modal-displays-all-configured-fields.spec.ts","",""
"","26770","@regression C21852435: Verify combined filters by date range, creator, active status, topics, and courses refine the category grid","chromium","2026-09-15","passed","2026-09-15","Training setup categories","training-setup/categories/C21852435-verify-combined-filters-by-date-range-creator-active-status-topics-and-courses-refine-the-category-grid.spec.ts","",""
"","69667","@regression C22670972: Verify search filters My Credentials grid results","chromium","2026-09-15","failed","2026-09-15","My Credentials","my-credentials/C22670972-verify-search-filters-my-credentials-grid-results.spec.ts","",""
"","22492","@smoke @regression C5877542: Verify user can add an organization rank","chromium","2026-09-15","passed","2026-09-15","Agency setup organization","agency-setup/organization/C5877542-verify-user-can-add-an-organization-rank.spec.ts","",""
